"Figure 1. Total organic (OC) and inorganic (IC) carbon for the four sugarcane cultivars grown in Pulehu soils. Black (solid) portion of the bars represent the IC and color portion represent OC for each soil depth and sugarcane growing stages (i.e., blue (open arrows)-tillering, yellow (irregular shape)-grand growth, green (light circles)-maturity) when the soil samples were collected. Means followed by the same letter or no letters for the bars in each soil depth are not significantly different in the Tukey’s test at Pr < 0.05.",,,,,,
x,footnote,y,site label,x axis label,y axis label,color portion label,bar color
4.2, a,10,H-78-3567 Pulehu,Total carbon (kg*m^-2),soil depth (cm),grand growth - yellow,black-yellow
1.4, b,10,H-78-3567 Pulehu,Total carbon (kg*m^-2),soil depth (cm),inorganic carbon - black,black-blue
2.7, b,10,H-78-3567 Pulehu,Total carbon (kg*m^-2),soil depth (cm),tillering - blue,black-blue
1.1, a,100,H-87-4319 Pulehu,Total carbon (kg*m^-2),soil depth (cm),inorganic carbon - black,black-green
7.4, a,100,H-87-4319 Pulehu,Total carbon (kg*m^-2),soil depth (cm),maturity - green,black-green
1.2, b,100,H-87-4319 Pulehu,Total carbon (kg*m^-2),soil depth (cm),inorganic carbon - black,black-yellow
4.5, b,100,H-87-4319 Pulehu,Total carbon (kg*m^-2),soil depth (cm),grand growth - yellow,black-yellow
0.9, c,100,H-87-4319 Pulehu,Total carbon (kg*m^-2),soil depth (cm),inorganic carbon - black,black-blue
1.1, c,100,H-87-4319 Pulehu,Total carbon (kg*m^-2),soil depth (cm),tillering - blue,black-blue
1.8, a,60,H-87-4319 Pulehu,Total carbon (kg*m^-2),soil depth (cm),inorganic carbon - black,black-green
9.0, a,60,H-87-4319 Pulehu,Total carbon (kg*m^-2),soil depth (cm),maturity - green,black-green
1.7, b,60,H-87-4319 Pulehu,Total carbon (kg*m^-2),soil depth (cm),inorganic carbon - black,black-yellow
4.5, b,60,H-87-4319 Pulehu,Total carbon (kg*m^-2),soil depth (cm),grand growth - yellow,black-yellow
1.7, c,60,H-87-4319 Pulehu,Total carbon (kg*m^-2),soil depth (cm),inorganic carbon - black,black-blue
2.3, c,60,H-87-4319 Pulehu,Total carbon (kg*m^-2),soil depth (cm),tillering - blue,black-blue
1.3, a,30,H-87-4319 Pulehu,Total carbon (kg*m^-2),soil depth (cm),inorganic carbon - black,black-green
9.0, a,30,H-87-4319 Pulehu,Total carbon (kg*m^-2),soil depth (cm),maturity - green,black-green
1.5, b,30,H-87-4319 Pulehu,Total carbon (kg*m^-2),soil depth (cm),inorganic carbon - black,black-yellow
5.9, b,30,H-87-4319 Pulehu,Total carbon (kg*m^-2),soil depth (cm),grand growth - yellow,black-yellow
1.3, c,30,H-87-4319 Pulehu,Total carbon (kg*m^-2),soil depth (cm),inorganic carbon - black,black-blue
1.9, c,30,H-87-4319 Pulehu,Total carbon (kg*m^-2),soil depth (cm),tillering - blue,black-blue
0.3, a,10,H-87-4319 Pulehu,Total carbon (kg*m^-2),soil depth (cm),inorganic carbon - black,black-green
9.4, a,10,H-87-4319 Pulehu,Total carbon (kg*m^-2),soil depth (cm),maturity - green,black-green
0.3, b,10,H-87-4319 Pulehu,Total carbon (kg*m^-2),soil depth (cm),inorganic carbon - black,black-yellow
2.4, b,10,H-87-4319 Pulehu,Total carbon (kg*m^-2),soil depth (cm),grand growth - yellow,black-yellow
0.1, c,10,H-87-4319 Pulehu,Total carbon (kg*m^-2),soil depth (cm),inorganic carbon - black,black-blue
0.3, c,10,H-87-4319 Pulehu,Total carbon (kg*m^-2),soil depth (cm),tillering - blue,black-blue
