"Oracle table name: SUBP_SOIL_SAMPLE_LOC; FIADB User Guides - Volume: Database Description (version 9.4); Chapter 8: Database Tables - Soils, Pacific
8.1.25,RESTRICTION_DEPTH_2,Restrcition depth 2,"NUMBER(3,1)","The maximum depth, to the nearest 0.5 inch, encountered when probing for a restriction at location 2."
8.1.26,RESTRICTION_DEPTH_3,Restrcition depth 3,"NUMBER(3,1)","The maximum depth, to the nearest 0.5 inch, encountered when probing for a restriction at location 3."
8.1.27,RESTRICTION_DEPTH_4,Restrcition depth 4,"NUMBER(3,1)","The maximum depth, to the nearest 0.5 inch, encountered when probing for a restriction at location 4."
8.1.28,C_TOT_3IN_MG_AC,"Total carbon per acre, 3 inches depth","NUMBER(10,6)",The total carbon content (Mg) per acre to a standard depth of 3 inches.
8.1.29,N_TOT_3IN_MG_AC ,"Total nitrogen per acre, 3 inches depth","NUMBER(10,6)",The total nitrogen content (Mg) per acre to a standard depth of 3 inches.
8.1.30,USED_IN_ESTIMATION_CD ,Used in estimation code ,NUMBER(1),A code indicating whether or not the soil core is included in population estimates.
8.1.31,CREATED_BY,Created by,VARCHAR2(30),The employee who created the record. This attribute is intentionally left blank (null) in download files.
8.1.32,CREATED_DATE,Created date,DATE,The date the record was created.
8.1.33,CREATED_IN_INSTANCE,Created in instance,VARCHAR2(6),The database instance in which the record was created. Each computer system has a unique database instance code and this attribute stores that information to determine on which computer the record was created.
8.1.34,MODIFIED_BY,Modified by,VARCHAR2(30),The employee who modified the record. This field will be blank (null) if the data have not been modified since initial creation. This attribute is intentionally left blank in download files.
8.1.35,MODIFIED_DATE,Modified date,DATE,The date the record was last modified. This field will be blank (null) if the data have not been modified since initial creation.
8.1.36,MODIFIED_IN_INSTANCE,Modified in instance,VARCHAR2(6),The database instance in which the record was modified. This field will be blank (null) if the data have not been modified since initial creation.
