table_id,column_id,of_variable,is_type,with_entry
Appendix_3a_Ahorizon_18Sept2013,A_Sc,A_horizon_element_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_Se,A_horizon_element_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_Se,A_horizon_element_composition,description,selenium
Appendix_3a_Ahorizon_18Sept2013,A_Se,A_horizon_element_composition,unit,mg/kg
Appendix_3a_Ahorizon_18Sept2013,A_Se,A_horizon_element_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_Sn,A_horizon_element_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_Sn,A_horizon_element_composition,description,tin
Appendix_3a_Ahorizon_18Sept2013,A_Sn,A_horizon_element_composition,unit,mg/kg
Appendix_3a_Ahorizon_18Sept2013,A_Sn,A_horizon_element_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_Sr,A_horizon_element_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_Sr,A_horizon_element_composition,description,strontium
Appendix_3a_Ahorizon_18Sept2013,A_Sr,A_horizon_element_composition,unit,mg/kg
Appendix_3a_Ahorizon_18Sept2013,A_Sr,A_horizon_element_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_Te,A_horizon_element_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_Te,A_horizon_element_composition,description,tellurium
Appendix_3a_Ahorizon_18Sept2013,A_Te,A_horizon_element_composition,unit,mg/kg
Appendix_3a_Ahorizon_18Sept2013,A_Te,A_horizon_element_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_Th,A_horizon_element_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_Th,A_horizon_element_composition,description,thorium
Appendix_3a_Ahorizon_18Sept2013,A_Th,A_horizon_element_composition,unit,mg/kg
Appendix_3a_Ahorizon_18Sept2013,A_Th,A_horizon_element_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_Ti,A_horizon_element_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_Ti,A_horizon_element_composition,description,titanium
Appendix_3a_Ahorizon_18Sept2013,A_Ti,A_horizon_element_composition,unit,wt. %
Appendix_3a_Ahorizon_18Sept2013,A_Ti,A_horizon_element_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_Tl,A_horizon_element_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_Tl,A_horizon_element_composition,description,thallium
Appendix_3a_Ahorizon_18Sept2013,A_Tl,A_horizon_element_composition,unit,mg/kg
Appendix_3a_Ahorizon_18Sept2013,A_Tl,A_horizon_element_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_U,A_horizon_element_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_U,A_horizon_element_composition,description,uranium
Appendix_3a_Ahorizon_18Sept2013,A_U,A_horizon_element_composition,unit,mg/kg
Appendix_3a_Ahorizon_18Sept2013,A_U,A_horizon_element_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_V,A_horizon_element_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_V,A_horizon_element_composition,description,vanadium
Appendix_3a_Ahorizon_18Sept2013,A_V,A_horizon_element_composition,unit,mg/kg
Appendix_3a_Ahorizon_18Sept2013,A_V,A_horizon_element_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_W,A_horizon_element_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_W,A_horizon_element_composition,description,tungsten
Appendix_3a_Ahorizon_18Sept2013,A_W,A_horizon_element_composition,unit,mg/kg
Appendix_3a_Ahorizon_18Sept2013,A_W,A_horizon_element_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_Y,A_horizon_element_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_Y,A_horizon_element_composition,description,yttrium
Appendix_3a_Ahorizon_18Sept2013,A_Y,A_horizon_element_composition,unit,mg/kg
Appendix_3a_Ahorizon_18Sept2013,A_Y,A_horizon_element_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_Zn,A_horizon_element_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_Zn,A_horizon_element_composition,description,zinc
Appendix_3a_Ahorizon_18Sept2013,A_Zn,A_horizon_element_composition,unit,mg/kg
Appendix_3a_Ahorizon_18Sept2013,A_Zn,A_horizon_element_composition,identifier,--
