study_id,table_id,column_id,of_variable,is_type,with_entry,information_from,has_status,note
ISCN3,layer,bd_other (g cm-3),bulk_density_other,unit,g cm-3,metadata,alpha,
ISCN3,layer,bd_other (g cm-3),bulk_density_other,value,--,metadata,alpha,
ISCN3,layer,bd_method,bulk_density_other,description,Method used to determine bulk density,metadata,alpha,
ISCN3,layer,bd_method,bulk_density_other,method,--,metadata,alpha,
ISCN3,layer,bdNRCS_prep_code,bulk_density_other,description,NRCS bulk density method code,metadata,alpha,
ISCN3,layer,bdNRCS_prep_code,bulk_density_other,control_vocabulary,NRCS_bulk_density_code,metadata,alpha,
ISCN3,layer,bdNRCS_prep_code,bulk_density_other,method,--,metadata,alpha,
ISCN3,layer,c_tot (percent),total_carbon,description,"Percent by weight of carbon in the dried, milled soil sample",metadata,alpha,would be nice to know if this was fine earth or whole soil
ISCN3,layer,c_tot (percent),total_carbon,method,total carbon,metadata,alpha,struggled with whether to include '_fraction' or '_percent' in the variable name!
ISCN3,layer,c_tot (percent),total_carbon,value,--,metadata,alpha,struggled with whether to include '_fraction' or '_percent' in the variable name!
ISCN3,layer,c_tot (percent),total_carbon,unit,mass percent,metadata,alpha,struggled with whether to include '_fraction' or '_percent' in the variable name!
ISCN3,layer,cNRCS_prep_code,total_carbon,description,NRCS soil carbon method code,metadata,alpha,struggled with whether to include '_fraction' or '_percent' in the variable name!
ISCN3,layer,cNRCS_prep_code,total_carbon,method,--,metadata,alpha,struggled with whether to include '_fraction' or '_percent' in the variable name!
ISCN3,layer,c_method,total_carbon,description,"Description of carbon analysis methods used to determine carbon concentrations, whether Total Carbon, organic C, or Loss on Ignition",metadata,alpha,struggled with whether to include '_fraction' or '_percent' in the variable name!
ISCN3,layer,c_method,total_carbon,method,--,metadata,alpha,struggled with whether to include '_fraction' or '_percent' in the variable name!
ISCN3,layer,oc (percent),organic_carbon,description,"Percent by weight of carbon in a dried soil sample after acidification with HCl, OR organic carbon as estimated by Walkley-Black Modified Acid-Dichromate",metadata,alpha,struggled with whether to include '_fraction' or '_percent' in the variable name!
ISCN3,layer,oc (percent),organic_carbon,method,organic carbon with inorganic carbon removed either by chemical treatment or calculation,metadata,alpha,struggled with whether to include '_fraction' or '_percent' in the variable name!
ISCN3,layer,oc (percent),organic_carbon,value,--,metadata,alpha,struggled with whether to include '_fraction' or '_percent' in the variable name!
ISCN3,layer,oc (percent),organic_carbon,unit,mass percent,metadata,alpha,struggled with whether to include '_fraction' or '_percent' in the variable name!
ISCN3,layer,cNRCS_prep_code,organic_carbon,description,NRCS soil carbon method code,metadata,alpha,struggled with whether to include '_fraction' or '_percent' in the variable name!
ISCN3,layer,cNRCS_prep_code,organic_carbon,method,--,metadata,alpha,struggled with whether to include '_fraction' or '_percent' in the variable name!
ISCN3,layer,c_method,organic_carbon,description,"Description of carbon analysis methods used to determine carbon concentrations, whether Total Carbon, organic C, or Loss on Ignition",metadata,alpha,struggled with whether to include '_fraction' or '_percent' in the variable name!
ISCN3,layer,c_method,organic_carbon,method,--,metadata,alpha,struggled with whether to include '_fraction' or '_percent' in the variable name!
ISCN3,layer,loi (percent),organic_matter,description,"Percent by weight of the organic content of the <2mm fraction is the organic material lost after ignition, reported on a <2 mm base",metadata,alpha,struggled with whether to include '_fraction' or '_percent' in the variable name!
ISCN3,layer,loi (percent),organic_matter,value,--,metadata,alpha,struggled with whether to include '_fraction' or '_percent' in the variable name!
ISCN3,layer,loi (percent),organic_matter,unit,mass percent,metadata,alpha,struggled with whether to include '_fraction' or '_percent' in the variable name!
ISCN3,layer,n_tot (percent),total_nitrogen,description,Percent by weight of nitrogen (organic and inorganic) in an oven-dried sample (the laboratory analytical concentration),metadata,alpha,struggled with whether to include '_fraction' or '_percent' in the variable name!
ISCN3,layer,n_tot (percent),total_nitrogen,unit,mass percent,metadata,alpha,struggled with whether to include '_fraction' or '_percent' in the variable name!
ISCN3,layer,n_tot (percent),total_nitrogen,value,--,metadata,alpha,struggled with whether to include '_fraction' or '_percent' in the variable name!
ISCN3,layer,c_to_n (mass ratio),carbon_to_nitrogen,description,"Mass ratio of total carbon to total nitrogen, as calculated from the total carbon and total nitrogen concentrations of the bulk layer, fraction, or other sample type",metadata,alpha,
ISCN3,layer,c_to_n (mass ratio),carbon_to_nitrogen,unit,mass ratio,metadata,alpha,
ISCN3,layer,c_to_n (mass ratio),carbon_to_nitrogen,value,--,metadata,alpha,
ISCN3,layer,soc (g cm-2),soil_organic_carbon_by_area,description,"Data contributor's calculated soil organic carbon stock value for the site, cluster, profile or layer",metadata,alpha,struggling with inclusion of '_by_area'... is this too much like a unit?
ISCN3,layer,soc (g cm-2),soil_organic_carbon_by_area,unit,g cm-2,metadata,alpha,
ISCN3,layer,soc (g cm-2),soil_organic_carbon_by_area,value,--,metadata,alpha,
ISCN3,layer,soc_carbon_flag,soil_organic_carbon_by_area,description,"SOC method calculation by ISCN. If absent, SOC values provided by data submission",metadata,alpha,
ISCN3,layer,soc_carbon_flag,soil_organic_carbon_by_area,method,--,metadata,alpha,
ISCN3,layer,soc_method,soil_organic_carbon_by_area,description,"Methods used to calculate (including any gap-filling) site, cluster, profile or layer soil organic carbon stocks",metadata,alpha,
ISCN3,layer,soc_method,soil_organic_carbon_by_area,method,--,metadata,alpha,
ISCN3,layer,ph_cacl,ph_cacl,description,1:2 soil-CaCl2 is the pH of a sample measured in 0.01M CaCl2 at a 1:2 soil:solution ratio,metadata,alpha,
ISCN3,layer,ph_cacl,ph_cacl,value,--,metadata,alpha,
ISCN3,layer,ph_cacl,ph_cacl,method,1:2 soil-CaCl2 is the pH of a sample measured in 0.01M CaCl2 at a 1:2 soil:solution ratio,,,
ISCN3,layer,ph_h2o,ph_h2o,description,"1:1 distilled water and soil paste. If pH was done by different method, enter into one of other soil pH fields",metadata,alpha,
ISCN3,layer,ph_h2o,ph_h2o,value,--,metadata,alpha,
ISCN3,layer,ph_h2o,ph_h2o,method,"1:1 distilled water and soil paste. If pH was done by different method, enter into one of other soil pH fields",metadata,alpha,
ISCN3,layer,ph_other,ph_other,description,pH measurements other than 1:1 soil and distilled water paste or in CaCl2,metadata,alpha,
ISCN3,layer,ph_other,ph_other,value,--,metadata,alpha,
ISCN3,layer,ph_method,ph_other,description,Description of sample preparation and analysis methods used for determinations of pH if not 1:1 soil and distilled water paste or in CaCl2,metadata,alpha,
ISCN3,layer,ph_method,ph_other,method,--,metadata,alpha,
ISCN3,layer,caco3 (percent),calcium_carbonate,description,Inorganic carbon concentration as measured or estimated by the contributor CaCO3 mass to soil dry mass,metadata,alpha,check to see if the soil is fine earth or whole soil
ISCN3,layer,caco3 (percent),calcium_carbonate,value,--,metadata,alpha,
ISCN3,layer,caco3 (percent),calcium_carbonate,unit,percent by weight,metadata,alpha,
ISCN3,layer,sand_tot_psa (percent),sand,description,Percent by weight of soil particles greater than 0.05 mm in the sample remaining after removal of particles greater than 2 mm and roots greater than 1 cm diameter,metadata,alpha,check to see if 100% is sand+silt+clay+coarse or just sand+silt+clay (prelim check says that sand+silt+clay)
ISCN3,layer,sand_tot_psa (percent),sand,value,--,metadata,alpha,
ISCN3,layer,sand_tot_psa (percent),sand,method,Percent by weight of soil particles greater than 0.05 mm in the sample remaining after removal of particles greater than 2 mm and roots greater than 1 cm diameter,metadata,alpha,
ISCN3,layer,sand_tot_psa (percent),sand,unit,percent by weight,metadata,alpha,
ISCN3,layer,silt_tot_psa (percent),silt,description,Percent by weight of soil particles in the size range from 0.002 to 0.050 mm in the sample remaining after removal of particles greater than 2 mm and roots greater than 1 cm diameter,metadata,alpha,
